Tamaño Array,5000
Quicksort Memoria,Quicksort nsec,Mergesort Memoria,Mergesort nsc,Binary Search nsec,Sequential Search nsec
0,350815.0,202538176,1.3982025E7,21334.0,3160.0,
0,359506.0,202538176,1.4334025E7,5136.0,2765.0,
0,351605.0,202538176,1.4590025E7,5925.0,3160.0,
0,329876.0,202538176,1.4572247E7,28840.0,3161.0,
0,379259.0,202538176,1.4461234E7,21333.0,3160.0,
0,474074.0,202538176,1.6179753E7,18173.0,395.0,
0,371358.0,202538176,1.4785581E7,6716.0,3556.0,
0,397037.0,202538176,1.5000493E7,6321.0,2370.0,
0,454321.0,202538176,1.462479E7,6321.0,1186.0,
Totales:
=SUM(A3:A102)/100,=SUM(B3:B102)/100,=SUM(C3:C102)/100,=SUM(D3:D102)/100,=SUM(E3:E102)/100,=SUM(F3:F102)/100,

Tamaño Array,7500
Quicksort Memoria,Quicksort nsec,Mergesort Memoria,Mergesort nsc,Binary Search nsec,Sequential Search nsec
0,721778.0,721122656,4.8859654E7,4345.0,48593.0,
0,656198.0,459019656,7.7123555E7,34766.0,6716.0,
0,699655.0,458709896,3.1601383E7,8692.0,9482.0,
0,546765.0,458616616,3.1267161E7,7901.0,8296.0,
0,532938.0,458588456,3.1309827E7,6716.0,7111.0,
0,523061.0,458580008,3.0194567E7,5926.0,4740.0,
0,581531.0,458577544,3.0183506E7,7902.0,4740.0,
0,590618.0,458576840,3.0165334E7,25679.0,4740.0,
0,528593.0,458576488,3.0368395E7,26469.0,1185.0,
0,756543.0,458576488,3.008474E7,8692.0,6716.0,
0,539259.0,458576488,2.9382321E7,5926.0,2766.0,
0,531358.0,458576488,3.0007704E7,5530.0,6716.0,
0,580345.0,458576488,3.0547753E7,28444.0,395.0,
0,631704.0,458576488,3.0209185E7,5926.0,7111.0,
0,537284.0,458576488,3.0031803E7,5926.0,3160.0,
0,538864.0,458576488,3.0870518E7,20938.0,3950.0,
0,617481.0,458576488,2.972484E7,22519.0,4346.0,
0,527407.0,458576488,3.0366025E7,5531.0,395.0,
0,591802.0,458576488,2.9344E7,5926.0,5531.0,
0,564544.0,458576488,3.0732247E7,7506.0,1185.0,
0,545185.0,458576488,3.0131753E7,4346.0,791.0,
0,549926.0,458576488,2.9970173E7,18963.0,18962.0,
0,592592.0,458576488,3.0306765E7,6321.0,8297.0,
0,538074.0,458576488,3.0102519E7,26864.0,5531.0,
0,678716.0,458576488,3.001521E7,5926.0,6716.0,
0,522272.0,458576488,3.0952296E7,5926.0,7111.0,
0,539259.0,458576488,3.0329284E7,20938.0,0.0,
0,629333.0,458576488,2.9961481E7,5531.0,790.0,
0,542420.0,458576488,3.0245926E7,16197.0,6716.0,
0,542420.0,458576488,3.0145581E7,8296.0,6321.0,
0,540444.0,458576488,2.947437E7,9877.0,4346.0,
0,538469.0,458576488,3.023605E7,25679.0,7111.0,
0,524247.0,458576488,3.0292939E7,24889.0,5136.0,
0,533728.0,458576488,3.030321E7,5926.0,22519.0,
0,546371.0,458576488,3.0355358E7,28050.0,1185.0,
0,516741.0,458576488,3.0292543E7,5531.0,18963.0,
0,552296.0,458576488,2.9685728E7,5136.0,6716.0,
0,551111.0,458576488,3.037116E7,6716.0,4741.0,
0,539654.0,458576488,3.0166124E7,5531.0,2766.0,
0,541630.0,458576488,3.0183902E7,18568.0,6716.0,
0,535704.0,458576488,3.0247506E7,6321.0,6717.0,
0,544790.0,458576488,3.0039309E7,6321.0,4345.0,
0,549531.0,458576488,3.0083555E7,21333.0,7111.0,
0,542024.0,458576488,3.0398025E7,22913.0,1580.0,
0,539654.0,458576488,3.0108445E7,18963.0,6321.0,
0,527407.0,458576488,2.9291457E7,6321.0,22519.0,
0,587061.0,458576488,3.0648494E7,6321.0,1976.0,
0,539259.0,458576488,3.0525234E7,6321.0,6716.0,
0,526617.0,458576488,2.9415901E7,6716.0,4741.0,
0,544395.0,458576488,3.0089087E7,7111.0,3555.0,
0,563358.0,458576488,3.0132938E7,6716.0,6716.0,
0,597333.0,458576488,2.9302518E7,6321.0,3556.0,
0,541235.0,458576488,2.9933432E7,28445.0,1580.0,
0,579160.0,458576488,3.0245135E7,21728.0,3160.0,
0,546370.0,458576488,2.9552593E7,7111.0,6716.0,
0,544790.0,458576488,2.9963852E7,6321.0,7111.0,
0,558617.0,458576488,2.995279E7,19753.0,2371.0,
0,642766.0,458576488,2.9939358E7,22518.0,5531.0,
0,533333.0,458576488,3.219042E7,24099.0,25679.0,
0,692543.0,458576488,3.2623408E7,19753.0,6716.0,
0,737580.0,458576488,3.1993284E7,7901.0,7111.0,
0,543605.0,458576488,3.1230815E7,7111.0,5531.0,
0,547556.0,458576488,3.0957432E7,22518.0,1975.0,
0,544395.0,458576488,3.0125432E7,5926.0,4741.0,
0,570469.0,458576488,3.1041976E7,21728.0,5531.0,
0,533728.0,458576488,3.100721E7,27259.0,6321.0,
0,585482.0,458576488,3.0482173E7,20543.0,19753.0,
0,535703.0,458576488,3.049521E7,22518.0,6716.0,
0,550716.0,458576488,3.1073976E7,8297.0,3161.0,
0,538074.0,458576488,3.0746074E7,6716.0,1975.0,
0,661728.0,458576488,3.0235259E7,22518.0,6321.0,
0,680296.0,458576488,2.9662419E7,22518.0,6716.0,
0,547160.0,458576488,3.0343111E7,5926.0,0.0,
0,596938.0,458576488,3.056079E7,24493.0,5531.0,
0,527802.0,458576488,3.1194469E7,6321.0,5926.0,
0,538470.0,458576488,3.024316E7,23704.0,5136.0,
0,553087.0,458576488,3.0253827E7,6321.0,6321.0,
0,614321.0,458576488,3.3144099E7,5531.0,3160.0,
0,634469.0,458576488,3.0959407E7,29630.0,6716.0,
0,560197.0,458576488,3.2625777E7,6716.0,10666.0,
0,865185.0,458576488,3.2694124E7,6716.0,1185.0,
0,547161.0,458576488,3.2086914E7,5926.0,6716.0,
0,545185.0,458576488,3.0604247E7,21333.0,6321.0,
0,594173.0,458576488,3.1393975E7,21728.0,6716.0,
0,659753.0,458576488,2.9977284E7,5531.0,2370.0,
0,578765.0,458576488,3.1210271E7,5926.0,20148.0,
0,633679.0,458576488,3.0132148E7,19358.0,5926.0,
0,553877.0,458576488,3.1433086E7,20938.0,1185.0,
0,548741.0,458576488,3.1991704E7,6716.0,5136.0,
0,546371.0,458576488,3.0378667E7,26074.0,3556.0,
0,550716.0,458576488,3.0159408E7,28840.0,4740.0,
0,532148.0,458576488,3.0017185E7,6321.0,3556.0,
0,538864.0,458576488,3.1416494E7,10271.0,7111.0,
0,545975.0,458576488,3.0229728E7,20938.0,1185.0,
0,607605.0,458576488,2.9922766E7,24889.0,6321.0,
0,566518.0,458576488,3.1398321E7,24889.0,6716.0,
0,552296.0,458576488,3.0624395E7,10272.0,6716.0,
0,575209.0,458576488,3.0070519E7,9086.0,6716.0,
0,524642.0,458576488,2.9529284E7,10667.0,7111.0,
0,538470.0,458576488,3.0986667E7,5531.0,5531.0,
Totales:
=SUM(A108:A207)/100,=SUM(B108:B207)/100,=SUM(C108:C207)/100,=SUM(D108:D207)/100,=SUM(E108:E207)/100,=SUM(F108:F207)/100,

Tamaño Array,10000
Quicksort Memoria,Quicksort nsec,Mergesort Memoria,Mergesort nsc,Binary Search nsec,Sequential Search nsec
0,714271.0,1337866280,7.5847111E7,5926.0,47803.0,
0,710321.0,811917432,1.20961976E8,1185.0,7111.0,
0,751012.0,811359888,5.2892445E7,790.0,5926.0,
0,750617.0,811192032,6.0939456E7,2370.0,40691.0,
0,727704.0,811141800,6.1698766E7,1186.0,40297.0,
0,837135.0,811126512,6.5074568E7,1185.0,43457.0,
0,716642.0,811121832,6.1276049E7,1185.0,84148.0,
0,749037.0,811120584,5.5642074E7,9481.0,3160.0,
0,1073778.0,811120272,5.3033481E7,20938.0,2765.0,
0,859654.0,811119960,5.2681877E7,3950.0,5530.0,
0,720592.0,811119960,5.1078716E7,16988.0,3161.0,
0,813432.0,811119960,5.2167506E7,4741.0,25679.0,
0,726914.0,811119960,5.1331161E7,3950.0,1185.0,
0,738370.0,811119960,5.2120494E7,3951.0,5926.0,
0,724148.0,811119960,5.142005E7,3556.0,5926.0,
0,796840.0,811119960,5.1192099E7,3556.0,4346.0,
0,734419.0,811119960,5.3749333E7,19358.0,4345.0,
0,809481.0,811119960,5.1119012E7,3556.0,2766.0,
0,772740.0,811119960,5.2204247E7,3951.0,6716.0,
0,728889.0,811119960,5.2568099E7,4346.0,3161.0,
0,732050.0,811119960,5.0928592E7,19753.0,6321.0,
0,736395.0,811119960,5.2410864E7,17383.0,5926.0,
0,732049.0,811119960,5.1210271E7,3951.0,5136.0,
0,747061.0,811119960,5.0863407E7,4346.0,19358.0,
0,712297.0,811119960,5.1090567E7,23309.0,7507.0,
0,728494.0,811119960,5.2051358E7,4346.0,3555.0,
0,722568.0,811119960,5.0962568E7,4345.0,395.0,
0,739555.0,811119960,5.113047E7,3951.0,5926.0,
0,735210.0,811119960,5.1051062E7,3951.0,7111.0,
0,777482.0,811119960,5.1256098E7,19358.0,5530.0,
0,725334.0,811119960,5.1390025E7,18568.0,790.0,
0,739161.0,811119960,5.2444444E7,17383.0,4741.0,
0,724938.0,811119960,5.1119408E7,19358.0,3951.0,
0,720197.0,811119960,5.0986272E7,3951.0,4741.0,
0,732839.0,811119960,5.1329185E7,3951.0,6321.0,
0,740345.0,811119960,5.1134025E7,3951.0,4346.0,
0,729284.0,811119960,5.1818667E7,17778.0,5531.0,
0,736790.0,811119960,5.1610469E7,3555.0,395.0,
0,786963.0,811119960,5.1454815E7,4346.0,5926.0,
0,754963.0,811119960,5.2020543E7,3160.0,2371.0,
0,728889.0,811119960,5.1097284E7,4346.0,2766.0,
0,742321.0,811119960,5.1183803E7,3950.0,5926.0,
0,739951.0,811119960,5.0949926E7,16987.0,20543.0,
0,726914.0,811119960,5.1638913E7,16988.0,5531.0,
0,966321.0,811119960,5.1030519E7,3555.0,5926.0,
0,795654.0,811119960,5.1122173E7,3556.0,5531.0,
0,824494.0,811119960,5.0969284E7,3555.0,5926.0,
0,795260.0,811119960,5.116958E7,3555.0,4741.0,
0,786173.0,811119960,5.222795E7,4346.0,1976.0,
0,725728.0,811119960,5.1054617E7,9086.0,2370.0,
0,737975.0,811119960,5.110321E7,3555.0,5926.0,
0,739951.0,811119960,5.1034074E7,4740.0,6716.0,
0,736000.0,811119960,5.1631408E7,4346.0,4345.0,
0,737975.0,811119960,5.4473086E7,3951.0,5531.0,
0,726519.0,811119960,5.1366716E7,3951.0,5926.0,
0,732050.0,811119960,5.0867753E7,3160.0,5531.0,
0,771950.0,811119960,5.100563E7,17383.0,5926.0,
0,723753.0,811119960,5.1253728E7,7506.0,5136.0,
0,894814.0,811119960,5.1366321E7,3555.0,3555.0,
0,928395.0,811119960,5.2417581E7,3950.0,6321.0,
0,767210.0,811119960,5.2000395E7,3950.0,2370.0,
0,727704.0,811119960,5.132247E7,4741.0,2371.0,
0,723358.0,811119960,5.334163E7,13432.0,3555.0,
0,756543.0,811119960,5.1311407E7,6716.0,5136.0,
0,749432.0,811119960,5.1098469E7,9086.0,18963.0,
0,709926.0,811119960,5.1261235E7,1185.0,3950.0,
0,754173.0,811119960,5.1974321E7,790.0,4741.0,
0,871111.0,811119960,5.0816E7,1185.0,6716.0,
0,739161.0,811119960,5.1053037E7,1580.0,5926.0,
0,719013.0,811119960,5.1493926E7,1185.0,6321.0,
0,833186.0,811119960,5.1878321E7,1185.0,1975.0,
0,726913.0,811119960,5.3487012E7,1185.0,2370.0,
0,768395.0,811119960,5.1980247E7,1185.0,5926.0,
0,734025.0,811119960,5.1318914E7,790.0,0.0,
0,782223.0,811119960,5.2206618E7,790.0,395.0,
0,820938.0,811119960,5.106805E7,1580.0,7506.0,
0,802370.0,811119960,5.1029728E7,1185.0,5531.0,
0,708346.0,811119960,5.0930963E7,791.0,5531.0,
0,751407.0,811119960,5.1053827E7,1186.0,11456.0,
0,724938.0,811119960,5.0816E7,1186.0,5926.0,
0,850568.0,811119960,5.122647E7,1581.0,8691.0,
0,809087.0,811119960,5.3180444E7,1580.0,3950.0,
0,730864.0,811119960,5.3010568E7,791.0,5136.0,
0,760889.0,811119960,5.1219753E7,790.0,395.0,
0,798420.0,811119960,5.1731753E7,790.0,5926.0,
0,747851.0,811119960,5.1292445E7,1186.0,21333.0,
0,774716.0,811119960,5.0695111E7,1185.0,6321.0,
0,768000.0,811119960,5.0967703E7,1185.0,4740.0,
0,887704.0,811119960,6.3337086E7,1580.0,7901.0,
0,1006222.0,811119960,5.2129185E7,1186.0,3951.0,
0,722173.0,811119960,5.1895309E7,1185.0,5136.0,
0,693333.0,811119960,5.789353E7,1186.0,3555.0,
0,738370.0,811119960,5.1802074E7,790.0,7506.0,
0,720198.0,811119960,5.1152988E7,1186.0,5926.0,
0,754963.0,811119960,5.1715951E7,1185.0,5531.0,
0,747457.0,811119960,5.2769976E7,790.0,7111.0,
0,758914.0,811119960,5.1890567E7,1185.0,3161.0,
0,726519.0,811119960,5.1292445E7,1975.0,5531.0,
0,734024.0,811119960,5.1269926E7,1580.0,790.0,
0,744296.0,811119960,5.2498568E7,1185.0,5530.0,
Totales:
=SUM(A213:A312)/100,=SUM(B213:B312)/100,=SUM(C213:C312)/100,=SUM(D213:D312)/100,=SUM(E213:E312)/100,=SUM(F213:F312)/100,

Tamaño Array,12500
Quicksort Memoria,Quicksort nsec,Mergesort Memoria,Mergesort nsc,Binary Search nsec,Sequential Search nsec
0,997926.0,2318309232,1.46123457E8,1580.0,5531.0,
0,928395.0,1257062872,1.28204642E8,1185.0,5531.0,
0,941037.0,1254117736,8.1647803E7,1185.0,4741.0,
0,939062.0,1280274776,8.3563062E7,1580.0,1186.0,
0,1007012.0,1279175192,8.1337284E7,1185.0,7112.0,
0,928395.0,1278844360,7.7864297E7,1185.0,1975.0,
0,932741.0,1278744632,8.0744296E7,1186.0,1975.0,
0,957629.0,1278714824,8.0945383E7,1976.0,3555.0,
0,994370.0,1278705624,7.8384593E7,1185.0,3555.0,
0,914173.0,1278703048,7.7413136E7,1185.0,2765.0,
0,906272.0,1278702312,7.8548938E7,1185.0,6716.0,
0,920493.0,1278701944,8.0405729E7,1185.0,4740.0,
0,1056395.0,1278701576,7.8183901E7,1186.0,1185.0,
0,907062.0,1278701944,7.7451457E7,1186.0,6321.0,
0,929185.0,1278701576,9.2003556E7,1185.0,1975.0,
0,1046519.0,1278701944,8.2386568E7,1186.0,6716.0,
0,1042173.0,1278701576,7.9890173E7,790.0,3161.0,
0,938667.0,1278701944,7.7083259E7,790.0,1185.0,
0,940247.0,1278701576,7.7897876E7,1185.0,5926.0,
0,1122371.0,1278701944,7.8269235E7,1580.0,6321.0,
0,941432.0,1278701576,7.7548247E7,1185.0,2370.
